Date,Open,High,Low,Close,Adj Close,Volume,Episode 0,Episode 1,Episode 2,Episode 3,Episode 4,Episode 5,Episode 6,Episode 7,Episode 8,Episode 9,Episode 10,Episode 11,Episode 12,Episode 13,Episode 14,Episode 15,Episode 16,Episode 17,Episode 18,Episode 19,Episode 20,Episode 21,Episode 22,Episode 23,Episode 24,Episode 25,Episode 26,Episode 27,Episode 28,Episode 29,Episode 30,Episode 31,Episode 32,Episode 33,Episode 34,Episode 35,Episode 36,Episode 37,Episode 38,Episode 39,Episode 40,Episode 41,Episode 42,Episode 43,Episode 44,Episode 45,Episode 46,Episode 47,Episode 48,Episode 49,Episode 50,Episode 51,Episode 52,Episode 53,Episode 54,Episode 55,Episode 56,Episode 57,Episode 58,Episode 59,Episode 60,Episode 61,Episode 62,Episode 63,Episode 64,Episode 65,Episode 66,Episode 67,Episode 68,Episode 69,Episode 70,Episode 71,Episode 72,Episode 73,Episode 74,Episode 75,Episode 76,Episode 77,Episode 78,Episode 79,Episode 80,Episode 81,Episode 82,Episode 83,Episode 84,Episode 85,Episode 86,Episode 87,Episode 88,Episode 89,Episode 90,Episode 91,Episode 92,Episode 93,Episode 94,Episode 95,Episode 96,Episode 97,Episode 98,Episode 99
2018-11-14,2737.899902,2746.800049,2685.750000,2701.580078,2701.580078,4402370000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
2018-11-15,2693.520020,2735.379883,2670.750000,2730.199951,2730.199951,4179140000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
2018-11-16,2718.540039,2746.750000,2712.159912,2736.270020,2736.270020,3975180000,5000,5000,5000,5000,5000,5000,5000,5028.619873,5000,5028.619873,5000,5000,5028.619873,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5028.619873,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5028.619873,5000,5000,5000,5000,5000,5028.619873,5000,5028.619873,5000,5000,5000,5000,5000,5028.619873,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5028.619873,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5028.619873,5000,5000,5000,5000
2018-11-19,2730.739990,2733.159912,2681.090088,2690.729980,2690.729980,3772900000,5034.689942,5000,5000,5034.689942,5000,5000,5006.070068999999,5028.619873,5000,5028.619873,5000,5000,5028.619873,5000,5000,5000,5006.070068999999,5000,5034.689942,5000,5000,5000,5000,5000,5028.619873,5000,5000,5006.070068999999,5000,5000,5000,5000,5000,5006.070068999999,5006.070068999999,5028.619873,5000,5000,5000,5000,5034.689942,5028.619873,5000,5028.619873,5000,5000,5000,5034.689942,5000,5028.619873,5000,5000,5000,5000,5034.689942,5000,5000,5000,5000,5034.689942,5034.689942,5000,5000,5000,5000,5028.619873,5000,5000,5000,5000,5034.689942,5034.689942,5000,5000,5000,5000,5000,5000,5000,5034.689942,5000,5000,5000,5000,5000,5000,5034.689942,5000,5000,5000,5000,5000,5000,5000,5000,5028.619873,5000,5000,5000,5000
2018-11-20,2654.600098,2669.439941,2631.520020,2641.889893,2641.889893,4357900000,4995.219971,4954.45996,5000,5034.689942,5000,5000,5006.070068999999,5028.619873,5000,5028.619873,5000,4960.530029,5028.619873,5000,5000,5000,5006.070068999999,4954.45996,5034.689942,5000,5000,4954.45996,5000,5000,5028.619873,5000,4954.45996,5006.070068999999,5000,5000,4954.45996,4989.149902,5000,5006.070068999999,5006.070068999999,5028.619873,5000,5000,4954.45996,5000,4995.219971,5028.619873,4989.149902,5028.619873,5000,4954.45996,5000,5034.689942,5000,5028.619873,5000,5000,5000,5000,5034.689942,5000,5000,5000,5000,5034.689942,5034.689942,5000,5000,5000,5000,5028.619873,5000,5000,5000,5000,5034.689942,5034.689942,5000,5000,5000,5000,5000,5000,5000,5034.689942,5000,5000,5000,5000,5000,5000,5034.689942,5000,5000,5000,5000,5000,5000,4989.149902,5000,5028.619873,5000,5000,5000,5000
2018-11-21,2657.739990,2670.729980,2649.820068,2649.929932,2649.929932,3233550000,4995.219971,4954.45996,5000,5034.689942,5000,5000,5006.070068999999,5028.619873,5000,5028.619873,5000,4866.149901999999,5028.619873,5000,5000,5000,5006.070068999999,4954.45996,5034.689942,5000,5000,4954.45996,5000,4951.1599129999995,5028.619873,5000,4954.45996,5006.070068999999,5000,5000,4954.45996,4989.149902,4905.619873,5006.070068999999,5006.070068999999,5028.619873,5000,5000,4954.45996,5000,4995.219971,5028.619873,4989.149902,5028.619873,5000,4954.45996,5000,5034.689942,4905.619873,5028.619873,5000,5000,5000,5000,4946.379884,5000,5000,5000,5000,5034.689942,5034.689942,5000,5000,5000,5000,5028.619873,5000,4940.3098150000005,5000,5000,5034.689942,5034.689942,5000,5000,5000,5000,5000,5000,4940.3098150000005,5034.689942,5000,5000,4940.3098150000005,5000,5000,5000,5034.689942,5000,5000,5000,4911.689942,5000,5000,4989.149902,5000,5028.619873,5000,5000,5000,5000
2018-11-23,2633.360107,2647.550049,2631.090088,2632.560059,2632.560059,1651650000,4995.219971,4954.45996,5000,5034.689942,4959.199952,5000,5006.070068999999,4942.279785,5000,5028.619873,5000,4866.149901999999,4987.819825,4959.199952,5000,5000,5006.070068999999,4954.45996,5034.689942,4913.659912,5000,4954.45996,5008.0400389999995,4951.1599129999995,5028.619873,5008.0400389999995,4954.45996,5006.070068999999,5000,5000,4954.45996,4989.149902,4905.619873,5006.070068999999,5006.070068999999,5028.619873,5000,4919.729981,4954.45996,4919.729981,4995.219971,5028.619873,4989.149902,5028.619873,5000,4954.45996,4919.729981,4954.4199229999995,4905.619873,5028.619873,5000,4948.349854,5000,4948.349854,4946.379884,4948.349854,5000,4948.349854,5000,5034.689942,5034.689942,5000,5000,5000,5000,5028.619873,4948.349854,4940.3098150000005,5000,5000,5034.689942,5034.689942,5000,5000,5000,4948.349854,5000,5000,4940.3098150000005,5034.689942,5000,5000,4940.3098150000005,5000,5000,5000,5034.689942,5000,5000,5000,4911.689942,5000,5000,4989.149902,5000,5028.619873,5000,5000,4948.349854,5000
2018-11-26,2649.969971,2674.350098,2649.969971,2673.449951,2673.449951,3443950000,4995.219971,4954.45996,5000,5034.689942,4959.199952,4990.670166,5006.070068999999,4932.949951,5000,5028.619873,5000,4866.149901999999,4978.4899909999995,4959.199952,5000,5000,5006.070068999999,4954.45996,5034.689942,4904.330078,4982.630127,4954.45996,5008.0400389999995,4951.1599129999995,5028.619873,5008.0400389999995,4954.45996,5006.070068999999,5000,5000,4945.130126,4989.149902,4905.619873,5006.070068999999,5006.070068999999,5028.619873,5000,4816.02002,4954.45996,4861.56006,4995.219971,5028.619873,4989.149902,5028.619873,5000,4954.45996,4816.02002,4896.250001999999,4905.619873,5028.619873,4930.979981,4948.349854,4930.979981,4890.179932999999,4946.379884,4948.349854,5000,4948.349854,5000,4937.05005,4976.520021,5000,4930.979981,5000,4930.979981,5028.619873,4948.349854,4836.599854,5000,5000,5034.689942,4937.05005,5000,5000,5000,4948.349854,4896.2900389999995,5000,4940.3098150000005,5034.689942,5000,5000,4842.669923,5000,5000,4930.979981,5034.689942,5000,5000,5000,4911.689942,5000,5000,4989.149902,5000,5028.619873,5000,5000,4948.349854,5000
2018-11-27,2663.750000,2682.530029,2655.889893,2682.169922,2682.169922,3485220000,4995.219971,4954.45996,5000,5034.689942,4959.199952,4990.670166,5006.070068999999,4932.949951,5000,5069.509765,5000,4866.149901999999,4978.4899909999995,4990.76001,4943.25,5000,5006.070068999999,4954.45996,5034.689942,4904.330078,4982.630127,4954.45996,5008.0400389999995,4992.049805,5069.509765,5008.0400389999995,4954.45996,5006.070068999999,5000,5000,4945.130126,4926.329833,4888.339844,5006.070068999999,5006.070068999999,5011.339844,4943.25,4798.739991,4954.45996,4861.56006,5036.109863000001,5028.619873,4989.149902,5028.619873,5000,4954.45996,4798.739991,4896.250001999999,4905.619873,5028.619873,4868.159912000001,4948.349854,4930.979981,4890.179932999999,4946.379884,4891.599854,5000,4948.349854,5000,4937.05005,4976.520021,5000,4930.979981,5000,4930.979981,5028.619873,4948.349854,4836.599854,5000,4971.869873,5034.689942,4937.05005,5000,5000,5000,4948.349854,4879.01001,4943.25,4940.3098150000005,5017.4099129999995,5000,5000,4842.669923,5000,5000,4930.979981,5034.689942,4971.869873,5000,5000,4911.689942,5000,4971.869873,4989.149902,4971.869873,5028.619873,5000,5000,4948.349854,5000
2018-11-28,2691.449951,2744.000000,2684.379883,2743.790039,2743.790039,3951670000,4995.219971,4954.45996,5000,5034.689942,4959.199952,4990.670166,5006.070068999999,4932.949951,5000,5069.509765,5000,4866.149901999999,4978.4899909999995,4990.76001,4889.149902,5049.609863,5014.79004,4963.179931000001,5034.689942,4904.330078,4982.630127,4954.45996,5008.0400389999995,4992.049805,5069.509765,5008.0400389999995,4954.45996,5006.070068999999,5000,5008.719971,4945.130126,4966.609861999999,4937.949707,5006.070068999999,5014.79004,5011.339844,4889.149902,4798.739991,4954.45996,4861.56006,5036.109863000001,5028.619873,4989.149902,5060.859863,5032.23999,4954.45996,4798.739991,4896.250001999999,4905.619873,5028.619873,4868.159912000001,4900.3198250000005,4930.979981,4898.899904,4946.379884,4883.039796,5000,4948.349854,5000,4937.05005,4976.520021,5000,4882.949952000001,5000,4930.979981,5028.619873,4948.349854,4836.599854,5000,4971.869873,5034.689942,4977.330078999999,4951.969971,5000,5000,4948.349854,4879.01001,4943.25,4940.3098150000005,5017.4099129999995,5000,5000,4842.669923,5000,5000,4971.26001,5034.689942,4923.839844,4951.969971,5000,4911.689942,5000,4971.869873,4989.149902,4971.869873,5028.619873,5000,5000,4948.349854,5000
